=== task-48 seo-audit — RUN 1 (BEFORE fixes) : live production https://francepassoire.pages.dev — 2026-08-20T22:41:15Z
# Audit SEO — 164 pages du sitemap
Cible de fetch : https://francepassoire.pages.dev (canonical comparé à https://francepassoire.com)

| Page | HTTP | Title | Desc | Canonical | OG | H1 |
| `/donnees/financier/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/donnees/identite/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/donnees/sante/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/embed/compteur/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/accor/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/agence-nationale-des-titres-securises-ants/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/agence-pour-lenseignement-francais-a-letranger-aefe/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/air-france-klm/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/alain-afflelou-groupe/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/alaxione/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/almerys/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/assistance-publique-hopitaux-de-paris-ap-hp/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/assurance-retraite-cnav/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/auchan/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/autosur/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/bloctel/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/boulanger/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/bouygues-telecom/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/bureau-vallee/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/caisse-des-depots-et-consignations-cdc/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/caisse-nationale-des-allocations-familiales-cnaf/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/capgemini-engineering/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/centre-hospitalier-darles/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/centre-hospitalier-de-perpignan/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/centre-hospitalier-sud-francilien-chsf/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/chronopost/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/colis-prive/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/coriolis-telecom/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/croqvacances/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/cultura/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/dedalus-biologie/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/direction-generale-des-finances-publiques-dgfip/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/evagg/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/experts-entreprendre/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/federation-francaise-de-football-fff/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/federation-francaise-de-gymnastique-ffgym/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/federation-francaise-de-handball-ffhandball/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/federation-francaise-de-tir-fftir/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/federation-francaise-dequitation-ffe/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/ficoba-fichier-national-des-comptes-bancaires/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/france-travail/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/groupe-ldlc/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/groupement-hospitalier-de-territoire-ght-coeur-grand-est/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/harvest/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/hubee-plateforme-de-la-dinum/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/institut-de-recherche-pour-le-developpement-ird/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/institut-national-de-la-statistique-et-des-etudes-economiques-insee/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/intermarche-groupement-les-mousquetaires/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/intersport-france/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/kiabi/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/la-poste-mobile/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/ledger/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/leroy-merlin/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/ministere-de-leducation-nationale/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/ministere-de-linterieur/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/ministere-des-sports-de-la-jeunesse-et-de-la-vie-associative-dispositif-passsport/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/mondial-relay/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/nexpublica-france-ex-inetum-software-france/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/office-francais-de-limmigration-et-de-lintegration-ofii/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/orange/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/police-nationale-plateforme-e-campus/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/sante-publique-france/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/sfr/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/sorbonne-universite/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/sport-2000/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/stade-francais-paris/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/tchap-messagerie-de-letat/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/urssaf-service-pajemploi/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/viamedis/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/weda/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/accor-20260715/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/aefe-20260811/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/air-france-klm-20250806/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/alain-afflelou-20250415/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/alaxione-20260820/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/almerys-20240205/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ants-20260415/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ap-hp-20210912/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/assurance-retraite-20240909/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/auchan-20250821/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
